Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup - traveler,300,3235,1006,7684,1298.85,0.000%,8.03406,8.35,2.90,1064.0
login - traveler ,600,2062,191,6990,816.80,0.000%,9.68570,9.95,4.36,1052.0
Get Profile,300,1926,131,6932,886.20,0.000%,8.30243,6.81,3.62,840.0
Update Profile,300,4001,1801,9336,1286.62,0.000%,7.45416,7.01,4.13,963.0
Get My favourites,300,1980,684,4084,650.99,0.000%,7.45638,2.32,3.37,318.0
Add to favourites,300,3147,1082,8079,878.73,0.000%,7.11069,3.93,3.62,566.0
Traveler Auth & Profile,300,16464,6346,28313,3819.31,0.000%,5.85777,27.48,15.46,4803.0
Get All properties,300,2032,975,5184,478.38,0.000%,6.95991,363.74,3.07,53515.7
Search properties,300,2076,835,5072,453.42,0.000%,6.94493,294.26,3.27,43386.8
Property Search,300,4109,1929,7624,675.90,0.000%,6.63526,627.90,6.05,96902.5
logout,300,2143,963,5891,612.16,0.000%,6.81199,2.42,5.04,364.0
Signup - owner,300,3409,2063,7751,701.91,0.000%,6.59660,6.51,3.92,1011.0
login - owner,600,2242,69,6654,606.87,0.667%,11.99592,11.65,6.82,994.2
Get owner profile,300,1059,368,4680,468.65,0.000%,6.93963,5.13,3.06,757.0
Update owner profile,300,1121,232,2831,409.99,0.000%,6.91930,5.74,3.53,850.0
Create property,300,858,47,3887,441.52,0.000%,6.98893,4.55,5.77,667.0
Update property,300,1767,98,5873,713.62,0.000%,7.13419,4.68,4.05,672.0
Delete property,300,1725,100,5937,722.08,0.000%,7.28597,2.11,3.61,296.0
Owner Auth & Actions,300,14303,10896,20964,1528.82,0.000%,5.65483,31.01,26.82,5616.0
Create booking,300,774,44,4455,487.23,0.000%,8.05953,5.13,4.78,652.0
Update Booking Status,300,676,38,2354,410.19,0.000%,8.49762,5.16,4.36,622.0
Get Owner Bookings,300,639,1,4473,528.72,1.333%,8.75274,2.28,4.07,266.7
Booking Flow,300,6308,2029,12133,1823.25,1.333%,7.25233,25.37,19.67,3582.2
TOTAL,7500,3294,1,28313,3952.59,0.160%,109.53542,949.05,96.44,8872.3
