Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup - traveler,200,2875,427,6075,1198.15,0.000%,8.16160,8.48,2.94,1064.0
login - traveler ,400,1568,134,8897,760.46,0.000%,8.12859,8.35,3.65,1052.0
Get Profile,200,1544,84,5043,761.99,0.000%,8.73096,7.16,3.80,840.0
Update Profile,200,3287,1082,7923,1007.08,0.000%,7.65257,7.20,4.24,963.0
Get My favourites,200,1705,947,5912,563.81,0.000%,7.66019,2.38,3.46,318.0
Add to favourites,200,2631,1058,5005,586.66,0.000%,7.35862,4.07,3.75,566.0
Traveler Auth & Profile,200,13865,6627,20598,2939.41,0.000%,5.46822,25.65,14.43,4803.0
Get All properties,200,2376,995,5151,780.58,0.000%,7.13190,365.72,3.14,52510.0
Search properties,200,2325,991,5004,692.48,0.000%,7.09270,292.19,3.34,42184.6
Property Search,200,4701,2086,8085,1194.09,0.000%,6.63900,613.94,6.05,94694.6
logout,200,1807,31,6041,556.43,1.000%,6.87356,2.44,5.09,363.2
Signup - owner,200,3643,187,6789,1045.31,0.500%,6.09329,5.99,3.62,1007.4
login - owner,400,2396,100,6075,875.38,2.500%,10.45834,10.02,5.94,981.2
Get owner profile,200,1051,90,2460,458.99,0.500%,6.43314,4.74,2.83,754.7
Update owner profile,200,1146,84,5690,676.23,0.500%,6.46078,5.35,3.29,847.3
Create property,200,1098,11,5054,678.01,0.500%,6.52167,4.24,5.37,665.2
Update property,200,1560,4,6001,1009.20,0.500%,6.66533,4.37,3.78,670.9
Delete property,200,1634,2,6022,1106.27,0.500%,6.89489,2.00,3.41,296.8
Owner Auth & Actions,200,14301,5882,19955,2005.02,1.500%,4.99064,27.30,23.64,5601.1
Create booking,200,465,20,2002,450.35,1.000%,7.68374,4.87,4.55,648.7
Update Booking Status,200,504,4,2771,375.31,1.000%,8.25900,4.99,4.17,619.0
Get Owner Bookings,200,324,3,1066,408.68,4.500%,8.61252,2.26,3.93,268.3
Booking Flow,200,5044,987,8977,1832.45,5.000%,6.83691,23.74,18.42,3554.9
TOTAL,5000,3033,2,20598,3628.58,0.880%,89.67484,761.21,78.78,8692.3
