Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signup - traveler,400,3413,643,11067,1585.99,0.000%,8.65202,8.99,3.12,1064.0
login - traveler ,800,1963,130,6172,663.49,0.000%,11.09416,11.40,4.98,1052.0
Get Profile,400,1766,99,5133,553.44,0.000%,9.02283,7.40,3.93,840.0
Update Profile,400,3717,1049,7101,801.87,0.000%,8.32848,7.83,4.61,963.0
Get My favourites,400,1910,961,5202,465.45,0.000%,8.30013,2.58,3.75,318.0
Add to favourites,400,2943,1069,7042,612.24,0.000%,7.97242,4.41,4.06,566.0
Traveler Auth & Profile,400,15775,5539,25158,3018.69,0.000%,6.75151,31.67,17.82,4803.0
Get All properties,400,2011,995,5149,303.31,0.000%,7.67651,408.95,3.38,54550.8
Search properties,400,2017,1001,5153,325.56,0.000%,7.68521,331.03,3.62,44108.0
Property Search,400,4028,2029,8154,476.26,0.000%,7.40206,713.16,6.74,98658.8
logout,400,2001,5,5939,421.07,0.750%,7.68197,2.73,5.69,363.4
Signup - owner,400,3675,80,7524,854.51,1.000%,7.04461,6.91,4.18,1003.7
login - owner,800,2466,4,7238,898.91,2.375%,13.23846,12.70,7.52,982.2
Get owner profile,400,1177,62,5060,593.80,1.000%,7.28173,5.35,3.20,752.5
Update owner profile,400,1171,2,3574,475.70,1.000%,7.41152,6.11,3.76,844.5
Create property,400,826,1,3904,438.60,1.000%,7.43508,4.82,6.12,663.4
Update property,400,1728,1,5878,624.46,1.000%,7.52516,4.92,4.26,669.9
Delete property,400,1659,0,5083,622.29,1.000%,7.70461,2.24,3.80,297.7
Owner Auth & Actions,400,14734,3463,23106,1755.37,1.750%,6.34156,34.60,30.00,5587.1
Create booking,400,743,4,1210,412.29,1.000%,8.47835,5.37,5.02,649.1
Update Booking Status,400,582,1,1186,329.14,1.000%,8.79140,5.31,4.46,619.0
Get Owner Bookings,400,718,1,2093,439.47,3.750%,8.97727,2.35,4.12,267.9
Booking Flow,400,6384,1033,12065,1976.76,3.750%,7.75434,26.96,20.91,3560.4
TOTAL,10000,3273,0,25158,3888.44,0.910%,126.98896,1117.20,111.52,9008.7
